id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,result_type,confidence,category_correct,known_class_correct,open_set_correct,exact_correct,dataset,error_type,diagnosis,diagnosis_note,input_text,source_type,description_level,noise_level,input_file,has_parameter_text,medium_ship_parameters,carrier_scale_parameters,surface_combatant_shared,frigate_littoral_shared,amphibious_landing_shared,aviation_shared,weak_feature_count,negative_expression_count,gold_anchor_count,pred_anchor_count,negative_near_terms
known_arleigh_burke_002,驱逐舰,阿利·伯克级驱逐舰,False,两栖舰,,True,category_unknown,0.6326,False,False,False,False,origin_80,known_to_unknown_wrong_category_rejection,known_sample_anchor_too_weak_or_vlm_style,有少量锚点但整体偏弱描述/VLM描述，容易触发类别内未知。,这艘舰的主要特征是宙斯盾系统、舰艏主炮、前后垂发阵列和隐身化上层建筑。它没有全通飞行甲板、弹射器、拦阻索和坞舱，主要执行防空、反潜和对海作战任务。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,4,0,1,1,2,1,1,0,全通飞行甲板|飞行甲板
known_arleigh_burke_004,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.7246,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,我看到一艘比较现代化的军舰，外形有点隐身，前面有炮，中间和后面好像有垂直发射装置。它不像两栖舰，没有尾门和坞舱，也不像航母，没有弹射器。,user_oral_description,medium,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,2,0,2,1,0,0,坞舱|弹射器
known_arleigh_burke_006,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.9043,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,图像显示该舰具有隐身化封闭式上层建筑，舰艏处有主炮，舰尾存在直升机起降区域。未见坞舱、艉门或大型航空甲板，武器传感器特征较突出。,vlm_style_description,medium,low,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,2,1,2,1,0,0,坞舱|艉门
known_arleigh_burke_008,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.8831,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,只能看到船头有炮，上层建筑外形比较方正并有倾斜面，后部像是直升机甲板。垂发区域不太清楚，但整体不像航母或两栖登陆舰。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,1,1,1,2,0,0,0,
known_independence_003,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,这艘船不是普通单体船，左右好像还有支撑结构，像三体船。驾驶室在比较前面，后面有一块停直升机的平台，船头有一门小炮，没有看到航母那种长长的飞行甲板。,user_oral_description,medium,medium,sim_text_inputs_v2_80.jsonl,False,False,False,0,1,0,2,0,2,2,0,
known_independence_008,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,只看得出这艘舰比较低矮，后面有直升机平台，船体好像比较宽，可能不是普通单体船。船头似乎有炮，其他装备看不清楚。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,0,0,0,1,1,1,0,0,
known_san_antonio_001,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8589,True,False,True,False,origin_80,known_to_known_same_category_wrong_class,amphibious_landing_known_class_confusion,黄蜂/圣安东尼奥/惠德比岛边界混淆。,该舰为两栖船坞运输舰，采用大型单体船结构，前部为大型箱形隐身化上层建筑，舰尾设有直升机甲板和坞舱艉门，可搭载登陆艇、车辆和海军陆战队员。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,0,1,4,1,2,0,2,0,
unknown_destroyer_real_001,驱逐舰,,True,护卫舰,,True,category_unknown,0.7261,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。,该舰为大型导弹驱逐舰，采用单体船结构，舰体尺寸和排水量明显大于普通护卫舰。舰上配备宙斯盾作战系统和相控阵雷达，舰艏装有一门127毫米级舰炮，前后甲板布置大量垂直发射单元，主要承担舰队区域防空和弹道导弹防御任务。舰尾设有直升机甲板，但没有机库。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,5,1,0,2,1,1,0,0,
unknown_destroyer_real_007,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7892,True,False,False,False,origin_80,unknown_to_known_closed_set_leak,unknown_sample_contains_known_like_anchors,未知类文本含多个预测已知类锚点，数据近邻过强或金标边界需复查。；数据设计提示：未知样本含预测已知类强锚点，可能过像已知类。,该舰标准排水量约7250吨，满载排水量约9485吨，舰长约161米，舷宽约21米，吃水约6.2米，采用4台LM2500燃气轮机和双轴推进，最高航速约30节。舰上装有宙斯盾系统、AN/SPY-1D雷达、90具左右Mk 41垂直发射单元、127毫米舰炮和直升机平台。,parameter_text_description,detailed,low,sim_text_inputs_v2_80.jsonl,True,True,False,1,0,0,1,2,0,0,3,
unknown_destroyer_real_008,驱逐舰,,True,巡洋舰,,True,category_unknown,0.6768,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。；数据设计提示：弱视觉描述较多，判别信息不足。,只能看出这艘舰比较大，前面有主炮，中部上层建筑很高，桅杆像格子结构，舰上似乎有很多导弹发射井。舰尾好像可以让直升机起降，但没有看清机库和具体雷达型号。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,2,0,0,2,3,1,0,0,
unknown_frigate_a_real_008,护卫舰,,True,巡洋舰,,True,category_unknown,0.7127,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,weak_description_insufficient_for_category,文本只提供弱视觉特征，不足以稳定判定具体大类。,只能看出这是一艘中型军舰，舰尾有直升机库和起降甲板，船头有一门炮，中部有雷达和桅杆。甲板上似乎有一些导弹发射装置，但数量和型号看不清。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,0,2,2,0,0,0,
unknown_frigate_b_real_007,护卫舰,,True,巡洋舰,,True,category_unknown,0.5544,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,parameter_boundary_ambiguous,参数型中型舰描述容易在护卫舰/驱逐舰/巡洋舰间漂移。,该舰标准排水量约3000吨，满载排水量约3600吨，舰长约122米，舷宽约14米，最高航速超过30节。动力系统采用CODLOG构型，装备MT30燃气轮机、柴油机和电力推进装置，武器包括127毫米舰炮、16单元垂直发射系统、反舰导弹、近防炮、鱼雷管和舰载直升机起降设施。,parameter_text_description,detailed,low,sim_text_inputs_v2_80.jsonl,True,True,False,2,0,0,1,0,0,0,0,
known_arleigh_burke_test_004,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.6667,True,False,False,False,origin_100,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,一艘驱逐舰，带相控阵雷达，能打防空导弹、反舰导弹和对地导弹，是航母的带刀护卫,user_oral_description,medium,low,sim_text_inputs_test_100_fixed.jsonl,False,False,False,3,0,0,0,1,0,0,0,
known_independence_test_008,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,0.838,True,False,False,False,origin_100,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,乘员约75人，续航力4300海里/20节，装备一门57毫米舰炮和一套拉姆防空导弹系统，可搭载2架MH-60直升机,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,False,False,2,2,0,1,0,0,2,0,
known_san_antonio_test_001,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8496,True,False,True,False,origin_100,known_to_known_same_category_wrong_class,amphibious_landing_known_class_confusion,黄蜂/圣安东尼奥/惠德比岛边界混淆。,美国海军新一代两栖船坞运输舰，采用全通式泛水坞舱设计，配备先进的封闭式桅杆，主要用于运输海军陆战队人员和装备,standard_structure_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,False,False,False,0,0,2,0,1,0,3,0,
known_whidbey_island_test_006,登陆舰,惠德比岛级船坞登陆舰,False,两栖舰,圣安东尼奥级两栖船坞运输舰,False,known_class,0.8184,False,False,True,False,origin_100,known_to_known_wrong_category_class,amphibious_landing_known_class_confusion,黄蜂/圣安东尼奥/惠德比岛边界混淆。；数据设计提示：已知样本缺少该舰级独有强锚点。,画面显示一艘登陆舰，舰体中部有大型车辆甲板，舰尾飞行甲板上停有一架直升机，未观察到直升机库结构,vlm_style_description,medium,low,sim_text_inputs_test_100_fixed.jsonl,False,False,False,0,0,1,3,0,2,0,1,
unknown_destroyer_real_test_008,驱逐舰,,True,巡洋舰,,True,category_unknown,0.55,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。,乘员300人，装备12组八联装MK41垂直发射系统，共90单元，可发射标准防空导弹和反潜火箭，舰尾有直升机平台,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,False,False,3,0,0,1,1,0,0,0,
unknown_frigate_a_real_test_006,护卫舰,,True,驱逐舰,,True,category_unknown,0.852,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,unknown_category_boundary_unclear,未知类大类错分，需结合槽位查看主导证据。,画面显示一艘水面舰艇，采用传统的格子桅杆，舰体中部有反舰导弹发射装置，舰尾飞行甲板上停有一架反潜直升机,vlm_style_description,medium,low,sim_text_inputs_test_100_fixed.jsonl,False,False,False,1,0,0,2,1,0,0,0,
unknown_frigate_a_real_test_007,护卫舰,,True,巡洋舰,,True,category_unknown,0.5654,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,parameter_boundary_ambiguous,参数型中型舰描述容易在护卫舰/驱逐舰/巡洋舰间漂移。,舰长151m，舷宽17.4m，吃水5.2m，满载排水量6200吨，动力4×燃气轮机，总功率60000马力，航速30节,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,True,False,0,0,0,0,0,0,0,0,
unknown_frigate_a_real_test_008,护卫舰,,True,驱逐舰,,True,category_unknown,0.7461,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,unknown_category_boundary_unclear,未知类大类错分，需结合槽位查看主导证据。,乘员166人，装备2组八联装MK41和2组八联装MK48垂直发射系统，搭载1架SH-60反潜直升机，续航力6000海里/20节,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,False,False,1,0,0,1,0,0,0,0,
unknown_frigate_b_real_test_004,护卫舰,,True,巡洋舰,,True,category_unknown,0.6527,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。,一艘三千多吨的军舰，单体船，有直升机平台，能打反舰导弹和防空导弹,user_oral_description,medium,low,sim_text_inputs_test_100_fixed.jsonl,False,False,False,2,0,0,1,1,0,0,0,
unknown_frigate_b_real_test_007,护卫舰,,True,航空母舰,,True,category_unknown,0.55,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,parameter_boundary_ambiguous,参数型中型舰描述容易在护卫舰/驱逐舰/巡洋舰间漂移。,舰长122m，舷宽14.2m，吃水4.15m，满载排水量3650吨，动力1×MT30燃气轮机+2×柴油机，航速32节,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,True,False,0,0,0,0,0,0,0,0,
unknown_frigate_b_real_test_008,护卫舰,,True,驱逐舰,,True,category_unknown,0.6429,False,True,True,False,origin_100,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。,乘员140人，装备2组八联装垂直发射系统，2座四联装反舰导弹发射器，续航力4500海里/18节,parameter_text_description,detailed,low,sim_text_inputs_test_100_fixed.jsonl,True,False,False,2,0,0,0,0,0,0,0,
known_arleigh_burke_anchor_008,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.748,True,False,False,False,anchor_80,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,图像大模型描述：舰体修长，舰艏一门127mm舰炮，前后为Mk41垂发区，后部可见直升机机库。,vlm_style_description,coarse,high,sim_text_inputs_dev_anchor_80.jsonl,False,False,False,1,0,0,2,0,0,1,0,
known_independence_anchor_002,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,0.782,True,False,False,False,anchor_80,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,我看到这船不是普通单体船，两边像有支撑船体，速度很快，前面是57mm级舰炮，后面能停直升机。,user_oral_description,medium,medium,sim_text_inputs_dev_anchor_80.jsonl,False,False,False,0,1,0,1,0,1,1,0,
known_independence_anchor_005,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,0.7499,True,False,False,False,anchor_80,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,画面里能看到很宽的舰尾平台和三体船轮廓，但没有大型区域防空垂发，也不像传统护卫舰。,missing_noisy_description,coarse,medium,sim_text_inputs_dev_anchor_80.jsonl,False,False,False,3,1,0,0,0,1,2,0,
unknown_destroyer_anchor_dev_007,驱逐舰,,True,护卫舰,,True,category_unknown,0.55,False,True,True,False,anchor_80,unknown_to_unknown_wrong_category,unknown_category_boundary_unclear,未知类大类错分，需结合槽位查看主导证据。,这艘船比普通护卫舰更大，像大型防空驱逐舰，但图片没有显示出已知驱逐舰的专属型号标志。,user_oral_description,medium,medium,sim_text_inputs_dev_anchor_80.jsonl,False,False,False,1,0,0,0,0,1,0,0,
